,name,main.temp,main.humidity,wind.speed,sys.sunrise
0,Egypt,17.81,47,4.9,1764563532
1,Nigeria,32.49,17,2.45,1764566988
2,Republic of South Africa,26.52,14,3.91,1764558452
3,Canadá,34.69,29,2.51,1764576440
4,Brazil,31.13,57,1.12,1764580167
5,Mexico City,15.53,51,0.0,1764593676
6,Argentina,24.69,48,3.3,1764579483
7,Japan,13.06,64,3.6,1764624785
8,Innichen,1.0,80,2.06,1764570907
9,China,10.97,76,1.91,1764594408
10,Thailand,17.83,68,2.28,1764545401
11,Francia,28.73,70,1.73,1764590046
12,Germany,3.35,77,2.66,1764572493
13,España,27.89,78,1.8,1764626167
14,Colombia,27.89,70,5.62,1764588636
15,Francia,28.73,70,1.73,1764590046
16,Francia,28.73,70,1.73,1764590046
17,Islandia,5.65,51,4.02,1764590282
18,Russia,-26.6,93,3.18,1764554080
19,Peru,-6.14,92,3.6,1764593372
